"date","geo","impressions","clicks"
"2016-01-01","TX","2532","45"
"2016-01-01","CA","3425","63"
"2016-01-01","NY","3532","25"
"2016-01-01","MN","1342","784"
"2016-01-02","TX","3643","23"
"2016-01-02","CA","1354","53"
"2016-01-02","NY","4643","85"
"2016-01-02","MN","2366","85"
"2016-01-03","TX","2353","57"
"2016-01-03","CA","5258","36"
"2016-01-03","NY","4735","63"
"2016-01-03","MN","5783","87"
"2016-01-04","TX","5783","47"
"2016-01-04","CA","7854","85"
"2016-01-04","NY","4754","36"
"2016-01-04","MN","9345","24"
"2016-01-05","TX","2535","63"
"2016-01-05","CA","4678","73"
"2016-01-05","NY","2364","33"
"2016-01-05","MN","3452","25"
